interaction_id,customer_id,fecha_interaccion,hora_interaccion,canal_contacto,motivo,transcripcion,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutro,estrellas,resuelto,tiempo_espera_seg,duracion_minutos,agente
INT-00969,XFC-00167,2025-03-18,19:43,Chat App,Error en facturación,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.7306,0.0662,0.2032,5,True,22,6.6,Yolanda T.
INT-00970,XFC-05998,2024-12-07,18:49,Llamada,Problema con seguro/ARS,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.5887,0.0791,0.3322,4,True,93,11.2,Yolanda T.
INT-00971,XFC-05998,2024-07-16,09:23,Llamada,Error en facturación,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.8078,0.0943,0.0979,5,True,59,1.4,Carlos R.
INT-00972,XFC-05329,2025-12-31,09:05,WhatsApp,Consulta sobre producto,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.6748,0.0686,0.2566,4,True,128,5.9,Pedro D.
INT-00973,XFC-05329,2025-12-31,19:01,Llamada,Reclamo de precio,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.1173,0.7993,0.0834,1,True,39,7.0,Ana M.
INT-00974,XFC-07774,2024-08-03,11:31,Email,Reclamo de precio,Llevo tres días esperando mi medicamento y nadie me da respuesta.,NEGATIVO,0.0957,0.6279,0.2764,1,False,92,9.7,José L.
INT-00975,XFC-07539,2025-08-16,08:24,Llamada,Queja de atención en sucursal,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0829,0.7095,0.2076,2,True,14,6.8,Carlos R.
INT-00976,XFC-07539,2025-09-05,08:18,Llamada,Medicamento agotado,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.1175,0.752,0.1305,1,True,10,1.0,Yolanda T.
INT-00977,XFC-07539,2024-07-24,20:08,Chat App,Seguimiento de pedido,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.9065,0.0362,0.0573,5,True,103,4.1,Yolanda T.
INT-00978,XFC-02377,2025-10-10,07:24,WhatsApp,Problema con app/web,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.3604,0.1706,0.469,3,True,82,6.4,José L.
INT-00979,XFC-02377,2025-11-23,20:57,Llamada,Consulta sobre programa de lealtad,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.8306,0.0939,0.0755,5,True,31,5.0,Luis F.
INT-00980,XFC-02377,2025-12-29,15:58,Llamada,Solicitud de reabastecimiento,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.2751,0.2321,0.4928,3,True,41,7.3,Carmen S.
INT-00981,XFC-02377,2025-12-15,08:10,Llamada,Consulta sobre programa de lealtad,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7118,0.0841,0.2041,5,True,35,8.4,Yolanda T.
INT-00982,XFC-02203,2025-05-30,15:26,Llamada,Medicamento agotado,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.0772,0.8575,0.0653,1,False,48,12.2,Carlos R.
INT-00983,XFC-02203,2023-09-26,19:11,WhatsApp,Reclamo de precio,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.9122,0.0295,0.0583,4,True,42,7.2,Rosa G.
INT-00984,XFC-00890,2025-04-27,09:03,Llamada,Problema con seguro/ARS,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.145,0.6456,0.2094,2,True,199,3.8,Carmen S.
INT-00985,XFC-00890,2025-03-20,20:06,Email,Seguimiento de pedido,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.2047,0.2696,0.5257,3,True,18,1.0,Pedro D.
INT-00986,XFC-00890,2025-04-08,20:21,Llamada,Retraso en delivery,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.1469,0.6033,0.2498,1,True,340,2.9,María P.
INT-00987,XFC-00890,2025-07-11,11:11,Llamada,Retraso en delivery,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.1264,0.6543,0.2193,1,False,94,8.5,Luis F.
INT-00988,XFC-06173,2025-07-21,13:41,WhatsApp,Consulta de horarios,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.7442,0.0505,0.2053,4,True,18,4.7,María P.
INT-00989,XFC-06173,2025-04-26,12:48,Chat App,Medicamento agotado,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.553,0.0758,0.3712,5,True,103,2.0,Rosa G.
INT-00990,XFC-06173,2024-04-08,19:20,Llamada,Problema con app/web,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.2289,0.2016,0.5695,3,True,33,7.9,Pedro D.
INT-00991,XFC-06173,2024-01-07,07:39,Llamada,Reclamo de precio,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.1378,0.8091,0.0531,1,False,160,17.8,María P.
INT-00992,XFC-06173,2024-12-23,09:55,WhatsApp,Problema con app/web,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.684,0.099,0.217,5,True,398,6.7,Luis F.
INT-00993,XFC-02911,2024-01-31,15:56,Email,Solicitud de reabastecimiento,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.5758,0.0409,0.3833,4,True,148,9.4,Miguel A.
INT-00994,XFC-01855,2024-06-27,11:33,Llamada,Consulta sobre producto,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.8933,0.0689,0.0378,4,True,31,8.8,Yolanda T.
INT-00995,XFC-01855,2024-05-05,17:24,Email,Problema con seguro/ARS,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.6341,0.0812,0.2847,4,True,47,6.2,Rosa G.
INT-00996,XFC-07926,2025-12-31,17:34,WhatsApp,Solicitud de reabastecimiento,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.7565,0.0508,0.1927,5,True,485,3.1,José L.
INT-00997,XFC-02468,2025-12-31,09:21,Llamada,Problema con app/web,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.5831,0.0821,0.3348,4,True,54,13.1,María P.
INT-00998,XFC-00452,2025-03-01,14:57,WhatsApp,Medicamento agotado,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.8124,0.047,0.1406,5,True,112,4.0,Ana M.
INT-00999,XFC-00452,2025-06-27,12:01,Llamada,Retraso en delivery,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.072,0.8692,0.0588,1,False,10,9.3,Luis F.
INT-01000,XFC-00452,2025-11-29,07:14,Llamada,Consulta sobre producto,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.8844,0.0822,0.0334,4,True,43,5.6,Yolanda T.
INT-01001,XFC-04942,2025-03-22,20:18,Email,Consulta sobre programa de lealtad,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.2614,0.109,0.6296,3,False,218,4.7,María P.
INT-01002,XFC-04942,2024-12-19,11:55,Llamada,Problema con seguro/ARS,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.0875,0.8755,0.037,1,False,352,1.0,Carmen S.
INT-01003,XFC-01556,2024-03-05,13:22,Chat App,Problema con app/web,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8814,0.0316,0.087,5,True,200,12.4,María P.
INT-01004,XFC-01556,2025-06-04,14:45,Llamada,Error en facturación,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.02,0.5589,0.4211,1,True,39,10.7,José L.
INT-01005,XFC-03050,2024-06-26,15:02,Email,Retraso en delivery,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0815,0.5889,0.3296,1,False,10,6.8,Carlos R.
INT-01006,XFC-03050,2023-10-22,10:14,Llamada,Error en facturación,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.0231,0.5955,0.3814,1,True,22,2.5,María P.
INT-01007,XFC-03050,2025-10-07,08:17,Llamada,Error en facturación,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.3945,0.1174,0.4881,3,True,389,4.7,Rosa G.
INT-01008,XFC-03050,2023-09-17,18:42,Llamada,Error en facturación,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.7337,0.0456,0.2207,5,True,115,9.8,Ana M.
INT-01009,XFC-02446,2023-09-10,15:30,WhatsApp,Medicamento agotado,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.0573,0.9045,0.0382,2,False,104,6.1,Rosa G.
INT-01010,XFC-02446,2024-01-18,13:31,Llamada,Solicitud de reabastecimiento,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.3136,0.108,0.5784,3,False,132,5.4,Rosa G.
INT-01011,XFC-02446,2024-01-23,12:33,Llamada,Problema con app/web,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8743,0.0596,0.0661,4,True,87,1.0,Yolanda T.
INT-01012,XFC-05512,2024-11-07,12:04,Llamada,Error en facturación,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8125,0.0875,0.1,5,True,21,9.8,Carmen S.
INT-01013,XFC-05512,2024-09-03,08:14,Llamada,Queja de atención en sucursal,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.6588,0.0645,0.2767,4,True,41,7.1,José L.
INT-01014,XFC-05726,2025-12-22,20:59,Llamada,Problema con app/web,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.6381,0.0966,0.2653,4,True,55,4.6,María P.
INT-01015,XFC-07493,2025-12-31,16:38,Llamada,Queja de atención en sucursal,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.1198,0.7115,0.1687,1,False,48,4.9,Miguel A.
INT-01016,XFC-07493,2025-12-31,08:36,Llamada,Error en facturación,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.063,0.7133,0.2237,1,True,17,12.9,Carlos R.
INT-01017,XFC-07493,2025-12-31,12:46,Llamada,Solicitud de reabastecimiento,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8685,0.0328,0.0987,5,True,54,12.6,Yolanda T.
INT-01018,XFC-07493,2025-12-31,19:52,Llamada,Consulta sobre producto,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.9088,0.0687,0.0225,4,True,44,9.8,Ana M.
INT-01019,XFC-07255,2023-07-07,17:06,WhatsApp,Problema con app/web,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.6654,0.0648,0.2698,5,True,258,8.1,Miguel A.
INT-01020,XFC-03254,2025-06-08,11:09,WhatsApp,Problema con seguro/ARS,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.7231,0.0213,0.2556,4,True,238,9.2,Carlos R.
INT-01021,XFC-03254,2025-11-23,12:57,Email,Error en facturación,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.0801,0.8488,0.0711,2,True,10,5.3,Pedro D.
INT-01022,XFC-03254,2025-05-18,18:05,Llamada,Seguimiento de pedido,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.1892,0.1885,0.6223,3,True,126,12.8,Miguel A.
INT-01023,XFC-03254,2024-10-15,10:11,Llamada,Medicamento agotado,Llevo llamando toda la mañana y nadie contesta.,NEGATIVO,0.0597,0.6963,0.244,1,True,69,5.1,María P.
INT-01024,XFC-01189,2023-07-29,10:32,Llamada,Cambio de medicamento,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.6142,0.0959,0.2899,5,True,25,3.5,Ana M.
INT-01025,XFC-01189,2023-06-16,12:16,WhatsApp,Error en facturación,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.0506,0.7224,0.227,1,False,69,14.9,José L.
INT-01026,XFC-01189,2025-05-25,14:08,Chat App,Medicamento agotado,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.1167,0.8302,0.0531,1,False,10,9.2,Luis F.
INT-01027,XFC-01189,2024-06-27,19:45,Llamada,Cambio de medicamento,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.2309,0.2049,0.5642,3,False,200,5.8,Rosa G.
INT-01028,XFC-05767,2025-08-15,15:04,Llamada,Error en facturación,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1357,0.7857,0.0786,2,False,12,7.7,Carmen S.
INT-01029,XFC-05767,2025-10-15,15:02,Llamada,Retraso en delivery,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.1238,0.7146,0.1616,1,False,117,8.0,José L.
INT-01030,XFC-05767,2025-04-18,13:36,Chat App,Retraso en delivery,Llevo tres días esperando mi medicamento y nadie me da respuesta.,NEGATIVO,0.1177,0.6256,0.2567,2,True,13,9.0,Pedro D.
INT-01031,XFC-01319,2024-05-05,10:19,Llamada,Problema con seguro/ARS,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.417,0.1013,0.4817,3,True,101,9.5,José L.
INT-01032,XFC-01319,2025-06-21,19:36,Llamada,Seguimiento de pedido,Necesito información sobre el programa de lealtad.,NEUTRO,0.3061,0.1658,0.5281,3,True,109,1.6,Carlos R.
INT-01033,XFC-00215,2025-05-14,15:42,WhatsApp,Consulta sobre producto,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6947,0.052,0.2533,5,True,17,8.8,Miguel A.
INT-01034,XFC-04541,2025-08-21,12:59,Llamada,Consulta sobre producto,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.5707,0.099,0.3303,4,True,222,3.4,Pedro D.
INT-01035,XFC-04541,2025-09-12,20:33,Llamada,Solicitud de reabastecimiento,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8918,0.0661,0.0421,5,True,171,9.5,Yolanda T.
INT-01036,XFC-02618,2025-10-28,11:27,Llamada,Queja de atención en sucursal,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.6921,0.0365,0.2714,5,True,38,13.5,José L.
INT-01037,XFC-02987,2024-11-20,17:57,Llamada,Problema con seguro/ARS,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7864,0.0248,0.1888,5,True,10,5.3,Carmen S.
INT-01038,XFC-02987,2025-02-25,13:24,Llamada,Seguimiento de pedido,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.2424,0.1519,0.6057,3,False,140,7.2,José L.
INT-01039,XFC-04151,2025-06-09,14:08,Llamada,Consulta sobre programa de lealtad,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.648,0.0896,0.2624,5,True,168,1.0,Miguel A.
INT-01040,XFC-04151,2025-09-28,09:01,Llamada,Queja de atención en sucursal,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.1058,0.6493,0.2449,1,False,38,4.9,Carmen S.
INT-01041,XFC-04151,2025-02-18,16:50,WhatsApp,Problema con app/web,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.5569,0.0853,0.3578,4,True,900,13.6,Ana M.
INT-01042,XFC-05100,2025-12-31,18:59,Email,Solicitud de reabastecimiento,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.7771,0.0901,0.1328,4,True,415,7.9,Carlos R.
INT-01043,XFC-02702,2025-03-13,14:26,Chat App,Problema con app/web,Necesito información sobre el programa de lealtad.,NEUTRO,0.2487,0.1973,0.554,3,True,41,9.8,Carlos R.
INT-01044,XFC-01034,2024-07-30,14:32,Chat App,Consulta sobre producto,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8996,0.0821,0.0183,5,True,10,14.6,María P.
INT-01045,XFC-03477,2025-06-11,07:36,Llamada,Consulta sobre producto,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8942,0.0416,0.0642,5,True,78,14.5,Miguel A.
INT-01046,XFC-03192,2024-11-02,20:38,WhatsApp,Retraso en delivery,Tengo una condición crónica y no pueden dejarme sin medicamento así.,NEGATIVO,0.0879,0.9457,-0.0336,2,False,33,5.1,Rosa G.
INT-01047,XFC-03192,2025-04-28,20:46,Llamada,Consulta sobre programa de lealtad,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.7893,0.0545,0.1562,5,True,271,6.5,María P.
INT-01048,XFC-03192,2025-09-20,17:32,WhatsApp,Problema con seguro/ARS,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.2913,0.1214,0.5873,3,True,181,7.8,José L.
INT-01049,XFC-03192,2025-03-17,07:06,Chat App,Error en facturación,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.0252,0.745,0.2298,1,False,53,4.8,María P.
INT-01050,XFC-04215,2024-05-21,10:32,Llamada,Queja de atención en sucursal,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0605,0.6206,0.3189,2,True,210,12.1,Luis F.
INT-01051,XFC-04215,2024-01-15,19:07,Llamada,Solicitud de reabastecimiento,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.4468,0.1268,0.4264,3,True,42,5.1,María P.
INT-01052,XFC-04215,2024-07-16,17:43,Chat App,Solicitud de reabastecimiento,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.3107,0.1545,0.5348,3,False,287,9.8,Yolanda T.
INT-01053,XFC-02495,2025-11-29,14:50,Email,Retraso en delivery,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.043,0.7257,0.2313,1,True,71,9.8,Ana M.
INT-01054,XFC-02495,2023-12-28,08:41,Llamada,Devolución de producto,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.6292,0.0343,0.3365,4,True,10,9.0,Carmen S.
INT-01055,XFC-00663,2024-05-01,19:06,Llamada,Cambio de medicamento,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.5542,0.023,0.4228,5,True,338,7.0,Yolanda T.
INT-01056,XFC-00663,2024-09-26,16:11,Chat App,Solicitud de reabastecimiento,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.438,0.1536,0.4084,3,False,241,13.4,Rosa G.
INT-01057,XFC-03884,2024-10-05,12:59,WhatsApp,Consulta sobre producto,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.8788,0.0909,0.0303,5,True,351,13.4,Rosa G.
INT-01058,XFC-03884,2023-06-21,19:20,Llamada,Queja de atención en sucursal,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.214,0.1588,0.6272,3,True,99,7.4,Yolanda T.
INT-01059,XFC-03884,2024-06-28,09:46,Email,Retraso en delivery,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.0204,0.5508,0.4288,1,True,33,6.0,Carlos R.
INT-01060,XFC-03884,2025-11-03,08:01,WhatsApp,Consulta de horarios,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.2244,0.1549,0.6207,3,True,138,11.3,Pedro D.
INT-01061,XFC-03884,2024-06-10,19:53,Email,Retraso en delivery,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.7698,0.0534,0.1768,4,True,204,16.2,Rosa G.
INT-01062,XFC-01620,2025-12-31,19:36,Llamada,Error en facturación,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.0933,0.6604,0.2463,2,True,13,8.2,Carmen S.
INT-01063,XFC-06575,2024-02-22,07:21,Llamada,Retraso en delivery,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.6035,0.0335,0.363,4,True,102,6.5,María P.
INT-01064,XFC-06575,2023-10-03,13:14,WhatsApp,Cambio de medicamento,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2314,0.1556,0.613,3,True,60,7.2,Rosa G.
INT-01065,XFC-06385,2024-11-20,20:11,Email,Retraso en delivery,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7388,0.0407,0.2205,4,True,101,7.6,María P.
INT-01066,XFC-06385,2025-07-04,16:24,Chat App,Reclamo de precio,Llevo llamando toda la mañana y nadie contesta.,NEGATIVO,0.0399,0.6397,0.3204,1,True,96,11.1,Carmen S.
INT-01067,XFC-01724,2025-10-14,20:06,Chat App,Medicamento agotado,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.1056,0.659,0.2354,1,True,178,12.7,Luis F.
INT-01068,XFC-01724,2024-06-29,10:37,WhatsApp,Problema con app/web,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.3747,0.1105,0.5148,3,True,17,12.6,Miguel A.
INT-01069,XFC-01724,2024-04-30,15:40,Email,Seguimiento de pedido,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.9099,0.0682,0.0219,4,True,56,10.0,Yolanda T.
INT-01070,XFC-00091,2025-09-30,17:56,Chat App,Retraso en delivery,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1365,0.6154,0.2481,2,True,50,9.1,Yolanda T.
INT-01071,XFC-00091,2025-04-11,18:17,WhatsApp,Seguimiento de pedido,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.7365,0.0812,0.1823,4,True,137,4.9,Miguel A.
INT-01072,XFC-07444,2025-12-31,18:51,WhatsApp,Cambio de medicamento,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.1765,0.2232,0.6003,3,True,193,11.5,Pedro D.
INT-01073,XFC-07444,2025-12-31,13:06,Llamada,Reclamo de precio,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.1376,0.8854,-0.023,1,True,326,2.1,Carmen S.
INT-01074,XFC-04891,2023-12-24,11:49,WhatsApp,Seguimiento de pedido,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.3589,0.1245,0.5166,3,True,27,10.7,Pedro D.
INT-01075,XFC-04891,2023-06-12,10:17,Chat App,Retraso en delivery,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.0904,0.7662,0.1434,2,False,52,4.4,Ana M.
INT-01076,XFC-07661,2024-12-07,20:36,WhatsApp,Consulta sobre programa de lealtad,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2877,0.1831,0.5292,3,False,115,14.3,Luis F.
INT-01077,XFC-07661,2024-04-05,14:23,Llamada,Queja de atención en sucursal,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8896,0.0667,0.0437,5,True,45,3.3,José L.
INT-01078,XFC-00369,2025-12-02,07:16,Chat App,Problema con seguro/ARS,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.1295,0.9369,-0.0664,2,True,129,13.8,Luis F.
INT-01079,XFC-00369,2025-06-10,09:56,Llamada,Medicamento agotado,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.0301,0.9191,0.0508,1,False,126,4.2,Miguel A.
INT-01080,XFC-00369,2024-04-10,19:29,Email,Medicamento agotado,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.3055,0.269,0.4255,3,False,49,7.3,Ana M.
INT-01081,XFC-00369,2025-07-12,09:34,WhatsApp,Consulta sobre producto,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.247,0.2659,0.4871,3,True,103,3.7,Carmen S.
INT-01082,XFC-01075,2023-07-13,17:39,Llamada,Reclamo de precio,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.1472,0.8739,-0.0211,2,True,75,20.5,José L.
INT-01083,XFC-01652,2025-08-22,13:57,Chat App,Problema con app/web,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7272,0.0413,0.2315,4,True,81,5.2,Rosa G.
INT-01084,XFC-01652,2024-05-12,18:10,Llamada,Seguimiento de pedido,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.7375,0.0534,0.2091,5,True,98,16.3,María P.
INT-01085,XFC-04159,2025-06-01,10:59,Llamada,Reclamo de precio,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.6915,0.0729,0.2356,5,True,116,7.3,María P.
INT-01086,XFC-04159,2024-01-24,18:52,Llamada,Consulta sobre programa de lealtad,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.4191,0.1234,0.4575,3,True,26,9.7,Ana M.
INT-01087,XFC-04834,2024-09-05,17:47,Chat App,Seguimiento de pedido,Necesito información sobre el programa de lealtad.,NEUTRO,0.1948,0.2427,0.5625,3,True,124,11.0,José L.
INT-01088,XFC-00914,2025-05-17,17:30,Llamada,Retraso en delivery,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2967,0.2902,0.4131,3,False,138,6.1,Ana M.
INT-01089,XFC-00914,2025-10-27,18:03,Llamada,Consulta de horarios,Necesito información sobre el programa de lealtad.,NEUTRO,0.371,0.118,0.511,3,True,35,4.8,José L.
INT-01090,XFC-00914,2024-12-09,16:06,Llamada,Problema con seguro/ARS,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.325,0.2347,0.4403,3,True,136,9.3,José L.
INT-01091,XFC-00914,2024-12-31,15:45,Llamada,Consulta de horarios,Necesito información sobre el programa de lealtad.,NEUTRO,0.3927,0.1887,0.4186,3,True,143,10.2,Pedro D.
INT-01092,XFC-07645,2025-06-22,15:22,WhatsApp,Reclamo de precio,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6341,0.0836,0.2823,5,True,162,8.5,María P.
INT-01093,XFC-07645,2025-05-01,10:38,Llamada,Queja de atención en sucursal,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.0549,0.6841,0.261,2,True,10,4.8,José L.
INT-01094,XFC-00696,2024-04-27,14:29,WhatsApp,Seguimiento de pedido,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7318,0.042,0.2262,5,True,41,5.6,Carlos R.
INT-01095,XFC-00696,2024-12-26,17:51,Llamada,Devolución de producto,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.7709,0.0356,0.1935,4,True,23,3.8,Rosa G.
INT-01096,XFC-05768,2025-04-02,15:37,Llamada,Problema con seguro/ARS,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.2864,0.1065,0.6071,3,False,47,1.0,Miguel A.
INT-01097,XFC-05768,2025-06-27,07:49,Llamada,Error en facturación,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.3472,0.2123,0.4405,3,True,393,13.3,Rosa G.
INT-01098,XFC-02072,2025-08-05,13:12,Llamada,Medicamento agotado,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.1384,0.7319,0.1297,1,True,70,4.8,José L.
INT-01099,XFC-02072,2025-09-25,15:47,WhatsApp,Seguimiento de pedido,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8312,0.056,0.1128,5,True,253,6.3,Pedro D.
INT-01100,XFC-03760,2025-05-02,13:59,WhatsApp,Seguimiento de pedido,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.4202,0.1333,0.4465,3,True,36,7.5,José L.
INT-01101,XFC-00107,2025-02-27,17:18,WhatsApp,Reclamo de precio,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.1863,0.2715,0.5422,3,True,141,10.2,María P.
INT-01102,XFC-05156,2025-10-01,10:21,WhatsApp,Medicamento agotado,Llevo tres días esperando mi medicamento y nadie me da respuesta.,NEGATIVO,0.0729,0.5549,0.3722,1,False,38,10.0,Miguel A.
INT-01103,XFC-05156,2025-09-10,07:59,Llamada,Solicitud de reabastecimiento,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.5609,0.0979,0.3412,5,True,89,3.3,Luis F.
INT-01104,XFC-00504,2024-06-05,12:22,WhatsApp,Problema con seguro/ARS,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.154,0.2617,0.5843,3,True,53,5.5,Rosa G.
